word,label,confidence,reason,frequency
रेश्मिया,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
टाराय,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
ताकतवर,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
जम,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
स्क्रिप्ट,incorrect,low,no close match found in vocabulary (best=62.5),1
रिटर्न,incorrect,low,no close match found in vocabulary (best=71.42857142857143),1
अपनेअपने,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
इंप्लाईज,incorrect,low,no close match found in vocabulary (best=71.42857142857143),1
नॉट,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
बारतलाप,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
पंप,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
लतपत,incorrect,low,no close match found in vocabulary (best=57.14285714285714),1
चंद्र,incorrect,low,no close match found in vocabulary (best=72.72727272727273),1
त्रम्ब्केश्वर,incorrect,low,no close match found in vocabulary (best=63.63636363636363),1
इकागाई,incorrect,low,no close match found in vocabulary (best=60.0),1
रिस्पॉन्सिबल,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
हाँजीहाँजी,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
पोपुलर,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
अपोजिट,incorrect,low,no close match found in vocabulary (best=61.53846153846154),1
फेशियल,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
परिस्थित,incorrect,low,no close match found in vocabulary (best=71.42857142857143),1
ठाक,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
अफसरवादी,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
सामान्यतः,incorrect,low,no close match found in vocabulary (best=71.42857142857143),1
मुंबई,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
मैकअप,incorrect,low,no close match found in vocabulary (best=60.0),1
नेहरू,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
किचन,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
भाड,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
हॉन्टेड,incorrect,low,no close match found in vocabulary (best=61.53846153846154),1
तकनीकी,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
झुकाव,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
इन्फोर्मेशन,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
पिक्चर,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
फुल्ली,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
अविश्वसनीय,incorrect,low,no close match found in vocabulary (best=70.58823529411764),1
चईये,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
है।किसी,incorrect,low,no close match found in vocabulary (best=72.72727272727273),1
ढूंढिए,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
गारमेंट्स,incorrect,low,no close match found in vocabulary (best=70.58823529411764),1
शर्मिंदगी,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
विग,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
पुस्तकों,incorrect,low,no close match found in vocabulary (best=71.42857142857143),1
आँखे,incorrect,low,no close match found in vocabulary (best=57.14285714285714),1
डरसन,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
